,pid,fname,lname,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age.1,Height,Weight,Country,Salary,CollegeName,hcid,draft_year,draft_round,draft_number
3,4,Aaron,Nesmith,SF,22,Boston Celtics,52,3,11,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,22,195.58,97.52228,USA,3631200,Vanderbilt,2,2014,1,4
0,1,Aaron,Gordon,PF,26,Denver Nuggets,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2,15,26,203.2,106.59412,USA,16409091,Arizona,8,,,
4,5,Aaron,Wiggins,SG,23,Oklahoma City Thunder,50,35,24.2,3.1,6.7,0.463,0.8,2.8,0.304,2.3,4,0.573,0.525,1.2,1.7,0.729,1,2.5,3.6,1.4,0.6,0.2,1.1,1.9,8.3,23,193.04,86.18248,USA,,Maryland,21,2018,1,23
1,2,Aaron,Henry,SF,22,Philadelphia 76ers,6,0,2.8,0.2,0.8,0.2,0,0.2,0,0.2,0.7,0.25,0.2,0,0,0,0,0.2,0.2,0,0,0.3,0.3,0.3,0.3,22,195.58,95.25432,USA,,Michigan State,23,2020,1,14
2,3,Aaron,Holiday,PG,25,Washington Wizards,63,15,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3,25,182.88,83.91452,USA,3980551,UCLA,30,2021,2,55
5,6,Abdel,Nader,SF,28,Phoenix Suns,14,0,10.4,0.9,2.5,0.343,0.3,1,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4,28,195.58,102.0582,Egypt,2000000,Iowa State,24,2016,2,58
6,7,Ade,Murkey,SG,24,Sacramento Kings,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,195.58,90.7184,USA,,,26,,,
7,8,Admiral,Schofield,SF,24,Orlando Magic,38,1,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8,25,195.58,109.315672,United Kingdom,,,22,2019,2,42
8,9,Ahmad,Caver,PG,25,Indiana Pacers,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25,187.96,78.925008,USA,,,12,2019,,
9,10,Al,Horford,C,35,Boston Celtics,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,36,205.74,108.86208,Dominican Republic,27000000,Florida,2,2007,1,3
10,11,Alec,Burks,SG,30,New York Knicks,81,44,28.6,3.5,9,0.391,1.9,4.8,0.404,1.6,4.2,0.378,0.499,2.7,3.3,0.822,0.6,4.3,4.9,3,1,0.3,1.1,2.7,11.7,30,198.12,97.068688,USA,9536000,Colorado,20,2011,1,12
11,12,Aleem,Ford,SF,24,Orlando Magic,5,0,14.8,1.2,4,0.3,0.4,3,0.133,0.8,1,0.8,0.35,0,0,0,0.4,2.6,3,0.4,0.2,0,0.8,1.4,2.8,24,203.2,99.79024,USA,,,22,,,
12,13,Alekesej,Pokusevski,PF,20,Oklahoma City Thunder,61,12,20.2,3,7.5,0.408,0.9,3.2,0.289,2.1,4.2,0.498,0.47,0.6,0.8,0.7,1.2,4,5.2,2.1,0.6,0.6,1.5,1.4,7.6,20,213.36,86.18248,Serbia,,,21,2020,1,17
13,14,Alex,Caruso,SG,27,Chicago Bulls,41,18,28,2.5,6.2,0.398,1,3.1,0.333,1.5,3.2,0.462,0.48,1.4,1.8,0.795,0.8,2.8,3.6,4,1.7,0.4,1.4,2.6,7.4,28,195.58,84.368112,USA,8650651,Texas A&M,5,,,
14,15,Alex,Len,C,28,Sacramento Kings,39,10,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6,29,213.36,113.398,Ukraine,3732000,Maryland,26,2013,1,5
15,16,Alfonzo,McKinnie,SF,29,Chicago Bulls,17,3,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5,29,200.66,97.52228,USA,,,5,,,
16,17,Alize,Johnson,PF,25,Chicago Bulls,23,0,7.3,0.7,1.7,0.436,0,0.2,0,0.7,1.5,0.486,0.436,0.3,0.5,0.583,1.2,1.4,2.7,0.4,0.2,0,0.5,0.8,1.8,26,203.2,96.161504,USA,1762796,Missouri State,5,2018,2,50
17,18,Alperen,Sengun,C,19,Houston Rockets,72,13,20.7,3.5,7.3,0.474,0.4,1.6,0.248,3.1,5.7,0.539,0.502,2.3,3.2,0.711,1.9,3.5,5.5,2.6,0.8,0.9,2,3,9.6,19,208.28,110.222856,Turkey,3214680,,11,2021,1,16
18,19,Amir,Coffey,SG,24,Los Angeles Clippers,69,30,22.7,3.1,6.8,0.453,1.4,3.7,0.378,1.7,3.1,0.542,0.556,1.5,1.7,0.863,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9,25,200.66,95.25432,USA,,Minnesota,13,,,
19,20,Andre,Drummond,C,28,Detroit Pistons,73,36,19.7,3.4,5.9,0.57,0,0,0,3.4,5.9,0.574,0.57,1.2,2.2,0.524,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9,28,208.28,126.552168,USA,1669178,Connecticut,9,2012,1,9
20,21,Andre,Iguodala,SF,38,Golden State Warriors,31,0,19.5,1.5,3.9,0.38,0.5,2.4,0.23,0.9,1.5,0.617,0.45,0.5,0.6,0.75,0.7,2.5,3.2,3.7,0.9,0.7,0.9,1.1,4,38,198.12,97.52228,USA,1669178,Arizona,10,2004,1,9
21,22,Andrew,Wiggins,SF,26,Golden State Warriors,73,73,31.9,6.5,14,0.466,2.2,5.5,0.393,4.4,8.5,0.513,0.543,2,3.2,0.634,1.2,3.3,4.5,2.2,1,0.7,1.5,2.2,17.2,27,200.66,89.357624,Canada,31579390,Kansas,10,2014,1,1
22,23,Anfernee,Simons,SG,22,Portland Trail Blazers,57,30,29.5,6.2,14,0.443,3.1,7.8,0.405,3.1,6.2,0.49,0.555,1.8,2,0.888,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,17.3,23,190.5,82.100152,USA,3938818,,25,2018,1,24
23,24,Anthony,Davis,C,28,Los Angeles Lakers,40,40,35.1,9.3,17.4,0.532,0.3,1.8,0.186,8.9,15.6,0.571,0.542,4.4,6.1,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2,29,208.28,114.758776,USA,35361360,Kentucky,14,2012,1,1
24,25,Anthony,Edwards,SG,20,Minnesota Timberwolves,72,72,34.3,7.6,17.3,0.441,3,8.4,0.357,4.6,8.9,0.519,0.527,3.1,3.9,0.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3,21.3,20,193.04,102.0582,USA,10245480,Georgia,18,2020,1,1
26,27,Anthony,Lamb,SF,24,San Antonio Spurs,2,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,24,198.12,102.965384,USA,,Vermont,27,,,
25,26,Anthony,Gill,PF,29,Washington Wizards,44,0,10.5,1.4,2.5,0.569,0.3,0.6,0.538,1.1,1.9,0.578,0.633,1,1.2,0.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1,29,200.66,104.32616,USA,1517981,Virginia,30,,,
27,28,Armoni,Brooks,SG,23,Houston Rockets,54,11,15.6,1.8,5.4,0.339,1.4,4.6,0.297,0.4,0.7,0.6,0.467,0.3,0.4,0.857,0.4,1.5,1.9,1.1,0.5,0.2,0.5,1.4,5.3,24,190.5,88.45044,USA,,Houston,11,2019,,
28,29,Arnoldas,Kulboka,SF,24,Charlotte Hornets,2,0,2.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,24,208.28,94.800728,Lithuania,,,4,2018,2,55
30,31,Austin,Rivers,SG,29,Denver Nuggets,67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6,29,193.04,90.7184,USA,1669178,Duke,8,,,
29,30,Austin,Reaves,SG,23,Los Angeles Lakers,61,19,23.2,2.4,5.2,0.459,0.9,2.7,0.317,1.5,2.5,0.616,0.542,1.6,1.9,0.839,0.7,2.4,3.2,1.8,0.5,0.3,0.7,1.4,7.3,24,195.58,89.357624,USA,,,14,2012,1,10
31,32,Avery,Bradley,SG,31,Los Angeles Lakers,62,45,22.7,2.4,5.6,0.423,1.3,3.4,0.39,1.1,2.3,0.471,0.54,0.3,0.3,0.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4,31,190.5,81.64656,USA,,Texas,14,2010,1,19
32,33,Ayo,Dosunmu,SG,22,Chicago Bulls,77,40,27.4,3.6,6.9,0.52,0.9,2.4,0.376,2.7,4.5,0.596,0.585,0.7,1,0.679,0.4,2.4,2.8,3.3,0.8,0.4,1.4,2.4,8.8,22,193.04,90.7184,USA,925258,Illinois,5,2021,2,38
33,34,Bam,Adebayo,SF,26,Orlando Magic,4,0,16.3,2.8,6.3,0.44,1,2.5,0.4,1.8,3.8,0.467,0.52,0,0,0,1.5,2.3,3.8,0,0,0.3,0,1,6.5,24,205.74,115.66596,USA,28103500,Kentucky,22,2017,1,14
34,35,Ben,McLemore,C,24,Miami Heat,56,56,32.6,7.3,13,0.557,0,0.1,0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,29,190.5,88.45044,USA,1669178,Kansas,16,2013,1,7
