Teamname,Wins,Losses,Win_pct,Abrv,Conference,Division,Hcid,Hcfname,Hclname,Hcage,Sid,Stadium,Capacity,State,City,Cid,Cfname,Clname,networth,League Name,Commissioner firstname,Commissioner lastname
Atlanta Hawks,41,31,0.569444444,ATL,Eastern,Southeast,1,Nate,McMillan,58,1,State Farm Arena,18118,Georgia,Atlanta,1,Tony,Ressler,6.2,NBA,Adam,Silver
Boston Celtics,36,36,0.5,BOS,Eastern,Atlantic,2,Ime,Udoka,34,2,TD Garden,18624,Massachusetts,Boston,2,Wyc,Grousbeck,0.4,NBA,Adam,Silver
Brooklyn Nets,48,24,0.666666667,BKN,Eastern,Atlantic,3,Steve,Nash,47,3,Barclays Center,17732,New York,Brooklyn,3,Joseph,Tsai,7.7,NBA,Adam,Silver
Charlotte Hornets,33,39,0.458333333,CHA,Eastern,Southeast,4,Billy,Donovan,61,4,Spectrum Center,19077,North Carolina,Charlotte,4,Michael,Jordan,1.7,NBA,Adam,Silver
Chicago Bulls,31,41,0.430555556,CHI,Eastern,Central,5,James,Borrego,57,5,United Center,20917,Illinois,Chicago,5,Jerry,Reinsdorf,1.8,NBA,Adam,Silver
Cleveland Cavaliers,22,50,0.305555556,CLE,Eastern,Central,6,J.B.,Bickerstaff,43,6,Rocket Mortgage FieldHouse,20562,Ohio,Cleveland,6,Dan,Gilbert,15.7,NBA,Adam,Silver
Dallas Mavericks,42,30,0.583333333,DAL,Western,Southwest,7,Jason,Kidd,49,7,American Airlines Center,19200,Texas,Dallas,7,Mark,Cuban,4.6,NBA,Adam,Silver
Denver Nuggets,47,25,0.652777778,DEN,Western,Northwest,8,Michael,Malone,51,8,Ball Arena,19155,Colorado,Denver,8,Ann,Kroenke,8.7,NBA,Adam,Silver
Detroit Pistons,20,52,0.277777778,DET,Eastern,Central,9,Dwane,Casey,65,9,Little Caesars Arena,20491,Michigan,Detroit,9,Tom,Gores,6.2,NBA,Adam,Silver
Golden State Warriors,39,33,0.541666667,GSW,Western,Pacific,10,Steve,Kerr,57,10,Chase Center,19596,California,San Francisco,10,Joe,Lacob,1.8,NBA,Adam,Silver
